Rk,Player,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Player-additional
1,Mookie Betts,8.3,152,693.0,584.0,126,179.0,40,1,39.0,107.0,14,3,96,107,.307,0.408,0.579,0.987,165,.424,167,338,bettsmo01
2,Ronald Acuña Jr.,8.2,159,735.0,643.0,149,217.0,35,4,41.0,106.0,73,14,80,84,.337,0.416,0.596,1.012,171,.444,173,383,acunaro01
3,Matt Olson*,7.4,162,720.0,608.0,127,172.0,27,3,54.0,139.0,1,0,104,167,.283,0.389,0.604,0.993,164,.415,161,367,olsonma02
4,Marcus Semien,7.4,162,753.0,670.0,122,185.0,40,4,29.0,100.0,14,3,72,110,.276,0.348,0.478,0.826,126,.364,127,320,semiema01
5,Corey Seager*,6.9,119,536.0,477.0,88,156.0,42,0,33.0,96.0,2,1,49,88,.327,0.39,0.623,1.013,174,.419,169,297,seageco01
6,Freddie Freeman*,6.5,161,730.0,637.0,131,211.0,59,2,29.0,102.0,23,1,72,121,.331,0.41,0.567,0.976,163,.425,165,361,freemfr01
7,Gunnar Henderson*,6.2,150,622.0,560.0,100,143.0,29,9,28.0,82.0,10,3,56,159,.255,0.325,0.489,0.814,125,.349,125,274,hendegu01
8,Shohei Ohtani*,6.0,135,599.0,497.0,102,151.0,26,8,44.0,95.0,20,6,91,143,.304,0.412,0.654,1.066,185,.435,180,325,ohtansh01
9,Francisco Lindor#,6.0,160,687.0,602.0,108,153.0,33,2,31.0,98.0,31,4,66,137,.254,0.336,0.47,0.806,121,.355,119,283,lindofr01
10,Austin Riley,5.9,159,715.0,636.0,117,179.0,32,3,37.0,97.0,3,1,59,172,.281,0.345,0.516,0.861,130,.367,127,328,rileyau01
11,Ha-Seong Kim,5.8,152,626.0,538.0,84,140.0,23,0,17.0,60.0,38,9,75,124,.260,0.351,0.398,0.749,107,.348,118,214,kimha01
12,Wander Franco#,5.5,112,491.0,442.0,65,124.0,23,6,17.0,58.0,30,10,42,69,.281,0.344,0.475,0.819,125,.367,133,210,francwa01
13,Fernando Tatis Jr.,5.5,141,635.0,575.0,91,148.0,33,1,25.0,78.0,29,4,53,141,.257,0.322,0.449,0.77,110,.347,117,258,tatisfe02
14,Juan Soto*,5.5,162,708.0,568.0,97,156.0,32,1,35.0,109.0,12,5,132,129,.275,0.41,0.519,0.93,155,.398,159,295,sotoju01
15,Corbin Carroll*,5.4,155,645.0,565.0,116,161.0,30,10,25.0,76.0,54,5,57,125,.285,0.362,0.506,0.868,133,.387,134,286,carroco02
16,Kyle Tucker*,5.4,157,674.0,574.0,97,163.0,37,5,29.0,112.0,30,5,80,92,.284,0.369,0.517,0.886,142,.381,141,297,tuckeky01
17,Andrés Giménez*,5.3,153,616.0,557.0,76,140.0,27,5,15.0,62.0,30,6,32,112,.251,0.314,0.399,0.712,96,.318,98,222,gimenan01
18,Julio Rodríguez,5.3,155,714.0,654.0,102,180.0,37,2,32.0,103.0,37,10,47,175,.275,0.333,0.485,0.818,130,.359,131,317,rodriju01
19,Yandy Díaz,5.2,137,600.0,525.0,95,173.0,35,0,22.0,78.0,0,1,65,94,.330,0.41,0.522,0.932,157,.399,160,274,diazya01
20,J.P. Crawford*,5.1,145,638.0,534.0,94,142.0,35,0,19.0,65.0,2,0,94,125,.266,0.38,0.438,0.818,133,.362,136,234,crawfjp01
21,José Ramírez#,5.1,156,691.0,611.0,87,172.0,36,5,24.0,80.0,28,6,73,73,.282,0.356,0.475,0.831,128,.357,128,290,ramirjo01
22,Nico Hoerner,5.1,150,688.0,619.0,98,175.0,27,4,9.0,68.0,43,7,49,83,.283,0.346,0.383,0.729,102,.344,104,237,hoernni01
23,Luis Robert Jr.,5.0,145,595.0,546.0,90,144.0,36,1,38.0,80.0,20,4,30,172,.264,0.315,0.542,0.857,130,.363,126,296,roberlu01
24,Ketel Marte#,4.9,150,650.0,569.0,94,157.0,26,9,25.0,82.0,8,2,71,109,.276,0.358,0.485,0.844,127,.366,129,276,marteke01
25,Bo Bichette,4.9,135,601.0,571.0,69,175.0,30,3,20.0,73.0,5,3,27,115,.306,0.339,0.475,0.814,122,.355,127,271,bichebo01
